序号,学校,类别,地址,邮编,电话
191,上海市浦东新区民办爱绿幼儿园,民办幼儿园,北园路28号,200127,50893527
192,上海浦东新区民办现代宝贝幼儿园,民办幼儿园,御桥路411号,200123,50656841
193,上海市浦东新区民办碧云幼儿园,民办幼儿园,长岛路823弄,201206,68959732
194,上海浦东新区民办东方剑桥幼儿园,民办幼儿园,高建路116号,201208,68979531
195,上海浦东新区民办嘉臣名都幼儿园,民办幼儿园,台儿庄路666弄35号,201206,58548895
196,上海浦东新区民办小风车金桥丽都幼儿园,民办幼儿园,利津路729弄32号,201206,50257776
197,上海浦东新区民办同汇幼儿园,民办幼儿园,博兴路1680弄10号,201206,50266846
198,上海市民办小博士幼儿园,民办幼儿园,春晖路289弄27号,200137,58623916
199,上海市民办悦多智能幼儿园,民办幼儿园,兰城路115弄49 号,200129,68610043
200,上海市浦东新区民办菊园幼儿园,民办幼儿园,浦城路379号,200120,58795469
201,上海市浦东新区民办仁恒幼儿园,民办幼儿园,浦城路99弄15号,200120,68889700
202,上海市浦东新区民办金太阳幼儿园,民办幼儿园,金杨路750弄57号,200129,50704300
203,上海市浦东新区民办小龙鱼金樟幼儿园,民办幼儿园,栖山路1489弄39号,200135,50383861
204,上海市浦东新区民办海达幼儿园,民办幼儿园,合庆镇南街39号,201201,68919643
205,上海浦东新区民办世纪昂立幼儿园,民办幼儿园,云山路839弄30号,200129,68502826
206,上海浦东新区民办弘韵数码幼儿园,民办幼儿园,羽山路998弄27号,200135,58217740
207,上海浦东新区民办博雅汇潼幼儿园,民办幼儿园,博山路200弄9号,200135,50933869
208,上海市浦东新区天地幼儿园,民办幼儿园,蓝村路60弄8号,200127,58759020
209,上海浦东新区民办小风车广洋新景幼儿园,民办幼儿园,柳杉路99弄27号,200135,50333648*606
210,上海浦东新区民办张江英桥幼儿园,民办幼儿园,晨晖路665号,201203,50271816
211,上海市民办中芯幼儿园,民办幼儿园,青桐路19弄2号,201203,58554588*296
212,上海浦东新区民办海川剑鑫幼儿园,民办幼儿园,北城壕路111弄79号,201200,58924052
213,上海浦东新区民办贝贝树幼儿园,民办幼儿园,紫微路600号,201203,50792209
